province;cpv_division;division_name;tender_count
Podlaskie;35;Sprzęt bezpieczeństwa i ochrony;2
Podlaskie;19;Wyroby skórzane i tekstylne;2
Podlaskie;22;Drukowane materiały i produkty poligraficzne;2
Pomorskie;45;Roboty budowlane;1079
Pomorskie;71;Usługi architektoniczne i inżynieryjne;221
Pomorskie;30;Sprzęt komputerowy i biurowy;157
Pomorskie;33;Sprzęt medyczny i farmaceutyczny;139
Pomorskie;80;Usługi edukacyjne;123
Pomorskie;15;Artykuły spożywcze i napoje;94
Pomorskie;34;Sprzęt transportowy i pojazdy;85
Pomorskie;39;Meble i wyposażenie wnętrz;83
Pomorskie;9;Produkty naftowe, paliwa i energia;76
Pomorskie;90;Usługi środowiskowe i sanitarne;65
Pomorskie;38;Sprzęt laboratoryjny i naukowy;65
Pomorskie;55;Usługi hotelarskie i restauracyjne;61
Pomorskie;79;Usługi biznesowe i doradcze;58
Pomorskie;60;Usługi transportu drogowego;56
Pomorskie;77;Usługi rolnicze i leśne;40
Pomorskie;48;Pakiety oprogramowania;40
Pomorskie;85;Usługi zdrowotne i społeczne;39
Pomorskie;50;Usługi napraw i konserwacji;38
Pomorskie;44;Materiały budowlane;38
Pomorskie;32;Sprzęt elektroniczny i telekomunikacyjny;32
Pomorskie;42;Maszyny przemysłowe;31
Pomorskie;3;Produkty rolne, łowieckie i rybne;30
Pomorskie;66;Usługi finansowe i ubezpieczeniowe;28
Pomorskie;31;Sprzęt elektryczny;25
Pomorskie;37;Sprzęt sportowy i rekreacyjny;23
Pomorskie;72;Usługi informatyczne;19
Pomorskie;63;Usługi spedycji i logistyki;16
Pomorskie;22;Drukowane materiały i produkty poligraficzne;16
Pomorskie;98;Pozostałe usługi komunalne i osobiste;16
Pomorskie;64;Usługi pocztowe i telekomunikacyjne;11
Pomorskie;24;Produkty chemiczne;10
Pomorskie;35;Sprzęt bezpieczeństwa i ochrony;9
Pomorskie;14;Górnictwo i minerały;9
Pomorskie;18;Odzież i obuwie;8
Pomorskie;43;Maszyny górnicze;8
Pomorskie;73;Usługi badawczo-rozwojowe;6
Pomorskie;92;Usługi rekreacyjne i kulturalne;6
Pomorskie;16;Maszyny rolnicze;4
Pomorskie;19;Wyroby skórzane i tekstylne;4
Pomorskie;70;Usługi w zakresie nieruchomości;3
Pomorskie;51;Usługi instalacyjne;3
Pomorskie;75;Usługi administracji publicznej;3
Pomorskie;65;Usługi komunalne (gaz, woda, energia);3
Śląskie;45;Roboty budowlane;1940
Śląskie;71;Usługi architektoniczne i inżynieryjne;373
Śląskie;33;Sprzęt medyczny i farmaceutyczny;299
Śląskie;15;Artykuły spożywcze i napoje;168
Śląskie;30;Sprzęt komputerowy i biurowy;164
Śląskie;90;Usługi środowiskowe i sanitarne;149
Śląskie;9;Produkty naftowe, paliwa i energia;123
Śląskie;34;Sprzęt transportowy i pojazdy;121
Śląskie;60;Usługi transportu drogowego;121
Śląskie;79;Usługi biznesowe i doradcze;104
Śląskie;80;Usługi edukacyjne;99
Śląskie;39;Meble i wyposażenie wnętrz;95
Śląskie;55;Usługi hotelarskie i restauracyjne;71
Śląskie;48;Pakiety oprogramowania;71
Śląskie;50;Usługi napraw i konserwacji;60
Śląskie;38;Sprzęt laboratoryjny i naukowy;51
Śląskie;85;Usługi zdrowotne i społeczne;46
Śląskie;44;Materiały budowlane;43
Śląskie;77;Usługi rolnicze i leśne;40
Śląskie;66;Usługi finansowe i ubezpieczeniowe;39
Śląskie;72;Usługi informatyczne;39
Śląskie;42;Maszyny przemysłowe;36
Śląskie;24;Produkty chemiczne;31
Śląskie;3;Produkty rolne, łowieckie i rybne;30
Śląskie;37;Sprzęt sportowy i rekreacyjny;28
Śląskie;32;Sprzęt elektroniczny i telekomunikacyjny;26
Śląskie;31;Sprzęt elektryczny;25
Śląskie;70;Usługi w zakresie nieruchomości;24
Śląskie;98;Pozostałe usługi komunalne i osobiste;19
Śląskie;22;Drukowane materiały i produkty poligraficzne;17
Śląskie;18;Odzież i obuwie;16
Śląskie;14;Górnictwo i minerały;16
Śląskie;64;Usługi pocztowe i telekomunikacyjne;14
Śląskie;43;Maszyny górnicze;12
Śląskie;92;Usługi rekreacyjne i kulturalne;12
Śląskie;63;Usługi spedycji i logistyki;8
Śląskie;75;Usługi administracji publicznej;7
Śląskie;73;Usługi badawczo-rozwojowe;7
Śląskie;19;Wyroby skórzane i tekstylne;6
Śląskie;16;Maszyny rolnicze;6
Śląskie;35;Sprzęt bezpieczeństwa i ochrony;6
Śląskie;51;Usługi instalacyjne;3
Śląskie;65;Usługi komunalne (gaz, woda, energia);2
Śląskie;41;Woda i usługi wodne;2
Śląskie;76;Usługi związane z przemysłem naftowym;1
Świętokrzyskie;45;Roboty budowlane;698
Świętokrzyskie;33;Sprzęt medyczny i farmaceutyczny;163
Świętokrzyskie;71;Usługi architektoniczne i inżynieryjne;113
Świętokrzyskie;30;Sprzęt komputerowy i biurowy;81
Świętokrzyskie;34;Sprzęt transportowy i pojazdy;77
Świętokrzyskie;9;Produkty naftowe, paliwa i energia;71
Świętokrzyskie;60;Usługi transportu drogowego;70
Świętokrzyskie;90;Usługi środowiskowe i sanitarne;58
Świętokrzyskie;15;Artykuły spożywcze i napoje;38
Świętokrzyskie;39;Meble i wyposażenie wnętrz;37
Świętokrzyskie;80;Usługi edukacyjne;35
