cpv_code;cpv_description;total_tenders
22200000-2;Gazety, dzienniki, czasopisma i magazyny;217
45342000-6;Wznoszenie ogrodzeń;217
30214000-2;Stacje robocze;216
33141100-1;Opatrunki, zaciski, szwy, podwiązki;216
33192120-9;Łóżka szpitalne;216
45233226-9;Roboty budowlane w zakresie dróg dojazdowych;214
45216121-8;Roboty budowlane w zakresie obiektów straży pożarnej;213
45312100-8;Instalowanie przeciwpożarowych systemów alarmowych;213
50711000-2;Usługi w zakresie napraw i konserwacji elektrycznych instalacji budynkowych;213
71356300-1;Usługi wsparcia technicznego;213
31120000-3;Generatory;212
45111100-9;Roboty w zakresie burzenia;212
39700000-9;Sprzęt gospodarstwa domowego;211
45214200-2;Roboty budowlane w zakresie budowy obiektów budowlanych związanych ze szkolnictwem;211
85312000-9;Usługi opieki społecznej nieobejmujące miejsc noclegowych;211
15331170-9;Warzywa mrożone;210
30192113-6;Wkłady drukujące;210
45232150-8;Roboty w zakresie rurociągów do przesyłu wody;210
45212000-6;Roboty budowlane w zakresie budowy wypoczynkowych, sportowych, kulturalnych, hotelowych i restauracyjnych obiektów budowlanych;209
33111000-1;Aparatura rentgenowska;208
45232400-6;Roboty budowlane w zakresie kanałów ściekowych;208
34711200-6;Bezzałogowe statki powietrzne;207
38434000-6;Analizatory;206
15131130-5;Wędliny;204
45232421-9;Roboty w zakresie oczyszczania ścieków;204
30232110-8;Drukarki laserowe;203
33124130-5;Wyroby diagnostyczne;203
79212000-3;Usługi audytu;203
33169000-2;Przyrządy chirurgiczne;202
44113600-1;Bitum i asfalt;202
70330000-3;Usługi zarządzania nieruchomościami na zasadzie bezpośredniej płatności lub umowy;200
33141625-7;Zestawy diagnostyczne;197
30125100-2;Wkłady barwiące;196
45236119-7;Naprawa boisk sportowych;196
85121200-5;Specjalistyczne usługi medyczne;194
03212100-1;Ziemniaki;192
31700000-3;Urządzenia elektroniczne, elektromechaniczne i elektrotechniczne;190
34144500-3;Pojazdy do transportu odpadów i ścieków;188
50110000-9;Usługi w zakresie napraw i konserwacji pojazdów silnikowych i podobnego sprzętu oraz podobne usługi;187
32000000-3;Sprzęt radiowy, telewizyjny, komunikacyjny, telekomunikacyjny i podobny;186
34992200-9;Znaki drogowe;186
33141620-2;Zestawy medyczne;185
33770000-8;Artykuły higieniczne z papieru;184
34351100-3;Opony do pojazdów silnikowych;184
55270000-3;Usługi świadczone przez placówki oferujące wyżywienie i miejsca noclegowe;184
32342400-6;Sprzęt nagłaśniający;183
90513600-2;Usługi usuwania osadów;183
24453000-4;Środki chwastobójcze;182
34144000-8;Pojazdy silnikowe specjalnego zastosowania;181
72268000-1;Usługi dostawy oprogramowania;181
15220000-6;Ryby mrożone, filety rybne i pozostałe mięso ryb;180
30213200-7;Komputer tablet;179
24000000-4;Produkty chemiczne;178
33182100-0;Defibrylatory;178
34136000-9;Samochody półciężarowe;178
45233290-8;Instalowanie znaków drogowych;178
45331110-0;Instalowanie kotłów;177
35100000-5;Urządzenia awaryjne i zabezpieczające;176
45233261-6;Roboty budowlane w zakresie przejść dla pieszych;176
50420000-5;Usługi w zakresie napraw i konserwacji sprzętu medycznego i chirurgicznego;176
15700000-5;Pasza dla zwierząt;175
77211600-8;Sadzenie drzew;175
79970000-4;Usługi publikacji;175
80411200-0;Usługi szkół nauki jazdy;175
39112000-0;Krzesła;174
64112000-4;Usługi pocztowe dotyczące listów;174
79700000-1;Usługi detektywistyczne i ochroniarskie;174
39290000-1;Wyposażenie różne;172
34144212-7;Cysterny do transportu wody;170
45252126-7;Roboty budowlane w zakresie zakładów uzdatniania wody pitnej;170
30163000-9;Karty płatnicze;169
39141000-2;Meble i wyposażenie kuchni;169
45215400-1;Roboty na cmentarzach;169
03141000-1;Nasienie byków;168
66511000-5;Usługi ubezpieczeń na życie;168
77000000-0;Usługi rolnicze, leśne, ogrodnicze, hydroponiczne i pszczelarskie;168
